reviewed	id_protein	id_mlo	id_rol	id_dataset	id_proteinmlo
lt	19	28.0	1.0	3	188
	19	57.0	1.0	2	189
lt	19	29.0	1.0	3	190
	20	61.0	1.0	2	191
ht	20	60.0		1	192
lt	20	30.0	1.0	3	193
lt	20	31.0	1.0	3	194
ht	20	24.0		1	195
	20	57.0	1.0	2	196
	20	60.0	1.0	2	197
lt	20	54.0		1	198
lt	20		1.0	1	199
lt	20	91.0	1.0	1	200
lt	21	33.0	1.0	3	201
	21	57.0	1.0	2	202
lt	21	79.0	1.0	1	203
lt	21	32.0	1.0	3	204
ht	22	60.0		1	205
lt	22	32.0	1.0	3	206
	22	60.0	1.0	2	207
lt	22	33.0	1.0	3	208
lt	22	79.0	1.0	1	209
	22	63.0	1.0	2	210
	22	57.0	1.0	2	211
	23	57.0	1.0	2	212
lt	23	79.0	1.0	1	213
lt	23	32.0	1.0	3	214
lt	23	33.0	1.0	3	215
lt	24	55.0		1	216
lt	24	55.0	1.0	1	217
lt	24	99.0	1.0	1	218
lt	24	34.0	1.0	3	219
lt	24	35.0	1.0	3	220
	24	55.0	1.0	2	221
	24	57.0	1.0	2	222
lt	25	60.0	1.0	1	223
	25	57.0	1.0	2	224
lt	25	36.0	1.0	3	225
lt	25	89.0	1.0	1	226
lt	25	37.0	1.0	3	227
lt	26	47.0	1.0	1	228
lt	26	98.0	1.0	1	229
lt	26		1.0	1	230
lt	26	90.0	1.0	1	231
lt	26	40.0	1.0	3	232
lt	26	38.0	1.0	3	233
	26	57.0	1.0	2	234
lt	26	39.0	1.0	3	235
	27	57.0	1.0	2	236
lt	27		1.0	1	237
lt	27	38.0	1.0	3	238
lt	27	39.0	1.0	3	239
lt	27	40.0	1.0	3	240
lt	27	47.0	1.0	1	241
ht	28	16.0		1	242
ht	28	60.0		1	243
lt	28	42.0	1.0	3	244
lt	28	41.0	1.0	3	245
lt	28	39.0	1.0	3	246
	28	60.0	1.0	2	247
	28	42.0	1.0	2	248
	28	18.0	1.0	2	249
	28	57.0	1.0	2	250
ht	28	103.0		1	251
ht	28	101.0		1	252
lt	29	47.0	1.0	1	253
lt	29	39.0	1.0	3	254
	29	57.0	1.0	2	255
lt	29	43.0	1.0	3	256
lt	29	6.0	1.0	3	257
lt	30	39.0	1.0	3	258
lt	30	47.0	1.0	1	259
lt	30	6.0	1.0	3	260
lt	30	54.0		1	261
	30	54.0	1.0	2	262
	30	57.0	1.0	2	263
lt	30	43.0	1.0	3	264
	32	57.0	1.0	2	277
lt	32	47.0	1.0	3	278
lt	32	47.0	1.0	1	279
lt	33	47.0	1.0	3	280
lt	33	47.0		1	281
ht	33	24.0		1	282
	33	57.0	1.0	2	283
ht	33	18.0		1	284
lt	34	20.0	1.0	3	285
lt	34		1.0	1	286
	35	57.0	1.0	2	287
lt	35	20.0	1.0	3	288
	35	63.0	1.0	2	289
lt	36	48.0	1.0	3	290
lt	36	49.0	1.0	3	291
lt	36	17.0	1.0	3	292
lt	36	50.0	1.0	3	293
	36	57.0	1.0	2	294
lt	36	82.0	1.0	1	295
	36	66.0	1.0	2	296
ht	36	82.0		1	297
lt	37		1.0	1	298
lt	37	51.0	1.0	3	299
lt	37	2.0	1.0	3	300
ht	37	24.0		1	301
lt	38	52.0	1.0	3	302
lt	38	38.0	1.0	3	303
lt	38	96.0	1.0	1	304
lt	38	39.0	1.0	3	305
lt	39	96.0	1.0	1	306
lt	39	38.0	1.0	3	307
lt	39	39.0	1.0	3	308
lt	39	52.0	1.0	3	309
	39	57.0	2.0	2	310
	40	47.0	2.0	2	311
lt	40	47.0		1	312
lt	40	85.0	1.0	1	313
lt	40	60.0	1.0	1	314
lt	40	62.0	1.0	1	315
lt	40	1.0	1.0	3	316
	40	62.0	2.0	2	317
lt	40	53.0	1.0	3	318
	40	60.0	2.0	2	319
lt	41	55.0	1.0	1	320
	41	55.0	1.0	2	321
lt	41	34.0	1.0	3	322
lt	41	35.0	1.0	3	323
	41	57.0	1.0	2	324
	42	63.0	1.0	2	325
lt	42	54.0		1	326
ht	42	54.0		1	327
	42	54.0	1.0	2	328
lt	42	54.0	1.0	3	329
lt	43	55.0	1.0	3	330
	43	55.0	1.0	2	331
	43	57.0	1.0	2	332
lt	43	55.0	1.0	1	333
ht	44	24.0		1	334
ht	44	60.0		1	335
lt	44	26.0	1.0	1	336
lt	44	27.0	1.0	3	337
	44	57.0	1.0	2	338
	44	47.0	1.0	2	339
	44	24.0	1.0	2	340
	44	60.0	1.0	2	341
	44	72.0	1.0	2	342
lt	44	23.0	1.0	3	343
lt	44	24.0	1.0	3	344
lt	44	25.0	1.0	3	345
lt	44	26.0	1.0	3	346
ht	45	101.0		1	347
ht	45	81.0		1	348
ht	45	60.0		1	349
lt	45	6.0	1.0	3	350
ht	45	24.0		1	351
lt	45		1.0	1	352
	45	60.0	2.0	2	353
	45	24.0	2.0	2	354
ht	45	16.0		1	355
	46	18.0	3.0	2	356
	46	47.0	3.0	2	357
ht	46	47.0		1	358
ht	46	101.0		1	359
ht	46	18.0		1	360
ht	46	60.0		1	361
ht	46	39.0		1	362
lt	46		1.0	1	363
lt	46	47.0	1.0	3	364
ht	46	16.0		1	365
lt	47	56.0	1.0	3	366
	47	54.0	2.0	2	367
lt	47	54.0		1	368
lt	47		1.0	1	369
lt	48		1.0	1	370
lt	48	24.0		1	371
ht	48	60.0		1	372
lt	48	60.0	1.0	1	373
lt	48	5.0	1.0	3	374
lt	48	1.0	1.0	3	375
lt	48	24.0	1.0	3	376
	48	60.0	3.0	2	377
lt	48	24.0	1.0	1	378
	48	24.0	3.0	2	379
lt	49	60.0	1.0	1	380
lt	49		1.0	1	381
ht	49	60.0		1	382
	49	60.0	3.0	2	383
	49	24.0	3.0	2	384
lt	49	5.0	1.0	3	385
lt	49	1.0	1.0	3	386
lt	49	24.0	1.0	3	387
lt	50	24.0	1.0	3	388
	50	60.0	3.0	2	389
	50	24.0	3.0	2	390
lt	50	5.0	1.0	3	391
lt	50	1.0	1.0	3	392
lt	50		1.0	1	393
ht	50	60.0		1	394
lt	50	60.0	1.0	1	395
	51	60.0	3.0	2	396
lt	51	24.0	1.0	3	397
lt	51	24.0	1.0	1	398
lt	52	39.0	1.0	3	399
lt	52		1.0	1	400
	52	58.0	2.0	2	401
lt	52	58.0	1.0	1	402
	53	57.0	1.0	2	403
	53	62.0	1.0	2	404
	53	18.0	1.0	2	405
lt	53	62.0	1.0	1	406
lt	53	47.0	1.0	1	407
ht	53	18.0		1	408
ht	53	101.0		1	409
ht	53	47.0		1	410
	53	61.0	1.0	2	411
	54	61.0	1.0	2	412
	54	57.0	1.0	2	413
lt	54	91.0	1.0	1	414
lt	55		1.0	1	415
	55	57.0	1.0	2	416
	55	63.0	1.0	2	417
lt	56	18.0	1.0	1	418
ht	56	18.0		1	419
	56	57.0	1.0	2	420
	56	18.0	1.0	2	421
	57	60.0	1.0	2	422
	57	18.0	1.0	2	423
ht	57	81.0		1	424
ht	57	16.0		1	425
ht	57	18.0		1	426
lt	57		1.0	1	427
	57	57.0	1.0	2	428
ht	57	101.0		1	429
	58	57.0	1.0	2	430
lt	58	16.0		1	431
lt	58		1.0	1	432
	58	18.0	1.0	2	433
	59	18.0	1.0	2	434
	59	24.0	1.0	2	435
ht	59	60.0		1	436
	59	61.0	1.0	2	437
ht	59	101.0		1	438
ht	59	18.0		1	439
ht	59	24.0		1	440
lt	59		1.0	1	441
lt	59	60.0		1	442
	59	60.0	1.0	2	443
ht	60	60.0		1	444
lt	60	69.0	1.0	1	445
	60	60.0	1.0	2	446
	60	57.0	1.0	2	447
ht	61	39.0		1	448
	61	55.0	1.0	2	449
	61	60.0	1.0	2	450
	61	54.0	1.0	2	451
ht	61	60.0		1	452
	61	18.0	1.0	2	453
	61	57.0	1.0	2	454
	61	63.0	1.0	2	455
	62	60.0	1.0	2	456
	62	18.0	1.0	2	457
	62	57.0	1.0	2	458
lt	62	60.0	1.0	1	459
lt	62	18.0		1	460
lt	62	60.0		1	461
lt	62	24.0		1	462
lt	62		1.0	1	463
lt	62	69.0	1.0	1	464
lt	62	18.0	1.0	1	465
lt	63	60.0	1.0	1	466
	63	57.0	1.0	2	467
	63	18.0	1.0	2	468
	63	63.0	1.0	2	469
	63	55.0	1.0	2	470
	64	57.0	1.0	2	471
ht	64	18.0		1	472
ht	64	60.0		1	473
lt	64	47.0	1.0	1	474
	64	60.0	1.0	2	475
	65	65.0	1.0	2	476
	65	18.0	1.0	2	477
	65	57.0	1.0	2	478
ht	65	101.0		1	479
ht	65	60.0		1	480
lt	65	16.0		1	481
lt	65	60.0	1.0	1	482
lt	65		1.0	1	483
	65	60.0	1.0	2	484
	66	18.0	1.0	2	485
ht	66	18.0		1	486
ht	66	60.0		1	487
	66	60.0	1.0	2	488
	66	57.0	1.0	2	489
ht	67	16.0		1	490
ht	67	60.0		1	491
lt	67	60.0		1	492
lt	67	95.0	1.0	1	493
lt	67	24.0	1.0	1	494
lt	67		1.0	1	495
lt	67	60.0	1.0	1	496
	67	60.0	1.0	2	497
	67	68.0	1.0	2	498
	67	61.0	1.0	2	499
	67	24.0	1.0	2	500
ht	68	60.0		1	501
	68	55.0	1.0	2	502
	68	63.0	1.0	2	503
	68	54.0	1.0	2	504
	68	18.0	1.0	2	505
	68	47.0	1.0	2	506
	68	65.0	1.0	2	507
	68	57.0	1.0	2	508
ht	68	18.0		1	509
	69	60.0	1.0	2	510
ht	69	39.0		1	511
ht	69	60.0		1	512
ht	69	18.0		1	513
ht	69	101.0		1	514
	69	61.0	1.0	2	515
	69	18.0	1.0	2	516
	69	47.0	1.0	2	517
	69	57.0	1.0	2	518
lt	69		1.0	1	519
lt	70	18.0	1.0	1	520
lt	70	18.0		1	521
	70	18.0	1.0	2	522
	70	57.0	1.0	2	523
ht	70	18.0		1	524
	71	54.0	1.0	2	525
	71	57.0	1.0	2	526
lt	72		1.0	1	527
	72	70.0	1.0	2	528
	72	71.0	1.0	2	529
	72	57.0	1.0	2	530
ht	72	39.0		1	531
lt	73		1.0	1	532
lt	73	16.0		1	533
ht	73	60.0		1	534
ht	73	18.0		1	535
	73	57.0	1.0	2	536
	73	18.0	1.0	2	537
	73	60.0	1.0	2	538
	74	24.0	1.0	2	539
	74	61.0	1.0	2	540
	74	60.0	1.0	2	541
ht	74	60.0		1	542
lt	74		1.0	1	543
	74	57.0	1.0	2	544
	75	63.0	1.0	2	545
	75	54.0	1.0	2	546
	75	16.0	1.0	2	547
	75	57.0	1.0	2	548
lt	75	54.0		1	549
lt	75	18.0		1	550
ht	76	18.0		1	551
	76	60.0	1.0	2	552
	76	24.0	1.0	2	553
lt	76	18.0	1.0	1	554
	76	57.0	1.0	2	555
	76	18.0	1.0	2	556
	77	57.0	1.0	2	557
	77	24.0	1.0	2	558
	77	60.0	1.0	2	559
	77	73.0	1.0	2	560
lt	77		1.0	1	561
lt	77	16.0		1	562
ht	77	60.0		1	563
lt	78		1.0	1	564
	78	57.0	1.0	2	565
	78	60.0	1.0	2	566
	78	24.0	1.0	2	567
	79	55.0	1.0	2	568
	79	57.0	1.0	2	569
ht	80	60.0		1	570
ht	80	18.0		1	571
	80	24.0	1.0	2	572
	80	55.0	1.0	2	573
	80	60.0	1.0	2	574
	80	18.0	1.0	2	575
	80	71.0	1.0	2	576
	80	70.0	1.0	2	577
	81	57.0	1.0	2	578
lt	81	55.0	1.0	1	579
	83	65.0	1.0	2	583
	83	18.0	1.0	2	584
	83	60.0	1.0	2	585
ht	83	39.0		1	586
lt	83	65.0		1	587
ht	83	18.0		1	588
ht	83	65.0		1	589
ht	83	54.0		1	590
	84	57.0	1.0	2	591
lt	84	55.0	1.0	1	592
	84	55.0	1.0	2	593
lt	85		1.0	1	594
ht	85	60.0		1	595
ht	85	18.0		1	596
	85	60.0	1.0	2	597
	85	18.0	1.0	2	598
	85	57.0	1.0	2	599
	86	57.0	1.0	2	600
ht	86	60.0		1	601
ht	86	101.0		1	602
	86	60.0	1.0	2	603
ht	86	39.0		1	604
lt	86		1.0	1	605
ht	86	47.0		1	606
	87	47.0	1.0	2	607
ht	87	47.0		1	608
ht	87	101.0		1	609
ht	87	18.0		1	610
ht	87	60.0		1	611
lt	87	18.0		1	612
lt	87	47.0		1	613
lt	87	47.0	1.0	1	614
ht	87	39.0		1	615
ht	88	16.0		1	616
ht	88	18.0		1	617
ht	88	60.0		1	618
	88	18.0	1.0	2	619
ht	88	101.0		1	620
	88	57.0	1.0	2	621
lt	88	16.0		1	622
lt	88		1.0	1	623
	88	60.0	1.0	2	624
ht	88	47.0		1	625
ht	88	102.0		1	626
	89	57.0	1.0	2	627
lt	89	54.0	1.0	1	628
lt	89		1.0	1	629
lt	90	54.0	1.0	1	630
ht	90	39.0		1	631
	90	57.0	1.0	2	632
	90	54.0	1.0	2	633
lt	91	54.0	1.0	1	634
lt	91	54.0		1	635
	91	57.0	1.0	2	636
	91	54.0	1.0	2	637
lt	92		1.0	1	638
ht	92	18.0		1	639
	92	61.0	1.0	2	640
	93	18.0	2.0	2	641
	93	24.0	2.0	2	642
	93	60.0	2.0	2	643
	94	24.0	2.0	2	644
lt	94	90.0	1.0	1	645
	94	74.0	2.0	2	646
	94	60.0	2.0	2	647
	95	65.0	2.0	2	648
	95	61.0	2.0	2	649
lt	95	65.0		1	650
ht	95	65.0		1	651
ht	96	24.0		1	652
	96	24.0	2.0	2	653
	96	55.0	2.0	2	654
lt	97	47.0		1	655
	97	24.0	2.0	2	656
	97	47.0	2.0	2	657
ht	97	60.0		1	658
lt	97	60.0		1	659
ht	97	24.0		1	660
	97	60.0	2.0	2	661
ht	98	60.0		1	662
	98	60.0	2.0	2	663
ht	99	18.0		1	664
ht	99	39.0		1	665
ht	99	101.0		1	666
ht	99	103.0		1	667
lt	99	18.0		1	668
	99	18.0	2.0	2	669
	99	24.0	2.0	2	670
	99	47.0	2.0	2	671
	99	61.0	2.0	2	672
	99	60.0	2.0	2	673
ht	99	60.0		1	674
ht	99	24.0		1	675
ht	100	60.0		1	676
	100	60.0	2.0	2	677
ht	101	60.0		1	678
	101	60.0	2.0	2	679
	102	60.0	2.0	2	680
ht	102	60.0		1	681
	103	60.0	2.0	2	682
	103	24.0	2.0	2	683
ht	103	60.0		1	684
lt	104	60.0	1.0	1	685
lt	104	60.0		1	686
ht	104	24.0		1	687
ht	104	101.0		1	688
ht	104	103.0		1	689
lt	104		1.0	1	690
ht	104	60.0		1	691
	104	24.0	2.0	2	692
	104	60.0	2.0	2	693
	104	55.0	2.0	2	694
	104	18.0	2.0	2	695
	105	24.0	2.0	2	696
	105	60.0	2.0	2	697
	106	75.0	2.0	2	698
	107	18.0	2.0	2	699
	107	24.0	2.0	2	700
lt	107	18.0		1	701
ht	107	24.0		1	702
ht	107	18.0		1	703
	108	76.0	2.0	2	704
ht	108	102.0		1	705
	109	76.0	2.0	2	706
lt	109	76.0		1	707
lt	109	65.0		1	708
	109	65.0	2.0	2	709
	110	54.0	2.0	2	710
	111	47.0	2.0	2	711
	111	55.0	2.0	2	712
	112	76.0	2.0	2	713
	112	70.0	2.0	2	714
ht	114	60.0		1	719
ht	114	24.0		1	720
lt	114	24.0		1	721
	114	24.0	2.0	2	722
	114	60.0	2.0	2	723
	114	72.0	2.0	2	724
	115	18.0	2.0	2	725
	115	60.0	2.0	2	726
ht	115	60.0		1	727
ht	115	18.0		1	728
	116	24.0	2.0	2	729
ht	116	24.0		1	730
	118	24.0	2.0	2	733
	118	60.0	2.0	2	734
	119	61.0	2.0	2	735
ht	119	60.0		1	736
ht	120	60.0		1	737
	120	63.0	2.0	2	738
	120	60.0	2.0	2	739
	120	55.0	2.0	2	740
ht	120	16.0		1	741
	121	63.0	2.0	2	742
	121	60.0	2.0	2	743
ht	121	60.0		1	744
ht	122	60.0		1	745
	122	60.0	2.0	2	746
	123	24.0	2.0	2	747
	123	60.0	2.0	2	748
ht	123	60.0		1	749
ht	123	18.0		1	750
	124	60.0	2.0	2	751
lt	124		1.0	1	752
	124	61.0	2.0	2	753
ht	124	60.0		1	754
lt	125	60.0	1.0	1	755
	125	24.0	2.0	2	756
ht	125	60.0		1	757
	125	60.0	2.0	2	758
lt	125	16.0		1	759
ht	126	24.0		1	760
	126	24.0	2.0	2	761
ht	127	60.0		1	762
	127	63.0	2.0	2	763
	127	60.0	2.0	2	764
	128	60.0	2.0	2	765
lt	128	24.0		1	766
ht	128	24.0		1	767
ht	128	60.0		1	768
	128	24.0	2.0	2	769
	129	24.0	2.0	2	770
lt	129	18.0		1	771
ht	129	24.0		1	772
ht	129	18.0		1	773
	129	18.0	2.0	2	774
ht	130	24.0		1	775
	130	24.0	2.0	2	776
	131	60.0	2.0	2	777
	131	24.0	2.0	2	778
	132	60.0	2.0	2	779
	132	24.0	2.0	2	780
ht	133	101.0		1	781
ht	133	24.0		1	782
lt	133	24.0		1	783
	133	24.0	2.0	2	784
	134	60.0	2.0	2	785
	134	55.0	2.0	2	786
ht	134	60.0		1	787
lt	134	60.0		1	788
lt	134		1.0	1	789
	135	24.0	2.0	2	790
ht	135	24.0		1	791
	136	24.0	2.0	2	792
ht	136	24.0		1	793
	137	24.0	2.0	2	794
ht	137	24.0		1	795
ht	137	18.0		1	796
lt	138	24.0	1.0	1	797
lt	138	60.0	1.0	1	798
ht	138	16.0		1	799
	138	60.0	2.0	2	800
	138	24.0	2.0	2	801
ht	138	60.0		1	802
	139	60.0	2.0	2	803
	139	24.0	2.0	2	804
	139	77.0	2.0	2	805
ht	139	47.0		1	806
ht	139	16.0		1	807
ht	139	60.0		1	808
ht	139	24.0		1	809
	140	24.0	2.0	2	810
	141	18.0	2.0	2	811
	141	60.0	2.0	2	812
ht	141	60.0		1	813
ht	141	16.0		1	814
ht	141	18.0		1	815
	141	55.0	2.0	2	816
	141	54.0	2.0	2	817
ht	141	39.0		1	818
lt	141	83.0	1.0	1	819
ht	142	102.0		1	820
ht	142	60.0		1	821
	142	59.0	2.0	2	822
	143	60.0	2.0	2	823
	143	24.0	2.0	2	824
lt	143	60.0	1.0	1	825
ht	143	60.0		1	826
	144	60.0	2.0	2	827
	144	24.0	2.0	2	828
	145	60.0	2.0	2	829
ht	146	24.0		1	830
ht	146	60.0		1	831
	146	55.0	2.0	2	832
	146	60.0	2.0	2	833
ht	147	60.0		1	834
	147	60.0	2.0	2	835
	148	24.0	2.0	2	836
	148	55.0	2.0	2	837
	148	18.0	2.0	2	838
	149	60.0	2.0	2	839
	150	60.0	2.0	2	840
ht	150	60.0		1	841
ht	151	18.0		1	842
	151	18.0	2.0	2	843
	151	24.0	2.0	2	844
	151	60.0	2.0	2	845
ht	152	24.0		1	846
lt	152	54.0		1	847
	152	54.0	2.0	2	848
	153	47.0	2.0	2	849
lt	154	65.0		1	850
ht	154	102.0		1	851
ht	154	101.0		1	852
	154	65.0	2.0	2	853
	154	59.0	2.0	2	854
	154	60.0	2.0	2	855
	154	78.0	2.0	2	856
	154	61.0	2.0	2	857
ht	154	60.0		1	858
	154	24.0	2.0	2	859
	155	60.0	2.0	2	860
	156	18.0	2.0	2	861
ht	156	18.0		1	862
ht	156	16.0		1	863
	156	60.0	2.0	2	864
	156	55.0	2.0	2	865
ht	156	60.0		1	866
lt	157	60.0		1	867
ht	157	60.0		1	868
ht	157	18.0		1	869
ht	157	54.0		1	870
ht	157	101.0		1	871
	157	18.0	2.0	2	872
	157	60.0	2.0	2	873
ht	158	60.0		1	874
	158	76.0	2.0	2	875
	158	60.0	2.0	2	876
	159	24.0	2.0	2	877
ht	159	24.0		1	878
	160	63.0	2.0	2	879
ht	160	60.0		1	880
ht	160	16.0		1	881
	160	60.0	2.0	2	882
	161	55.0	2.0	2	883
	161	47.0	2.0	2	884
	162	60.0	2.0	2	885
	162	24.0	2.0	2	886
	162	68.0	2.0	2	887
ht	162	47.0		1	888
lt	162	60.0		1	889
lt	162	60.0	1.0	1	890
lt	162		1.0	1	891
ht	162	60.0		1	892
ht	162	16.0		1	893
ht	163	24.0		1	894
lt	163	24.0		1	895
	163	24.0	2.0	2	896
	163	60.0	2.0	2	897
ht	164	60.0		1	898
	164	18.0	2.0	2	899
	164	55.0	2.0	2	900
	164	60.0	2.0	2	901
	165	24.0	2.0	2	902
lt	165	24.0		1	903
lt	165	60.0		1	904
ht	165	24.0		1	905
ht	165	60.0		1	906
	165	60.0	2.0	2	907
	165	72.0	2.0	2	908
lt	165	24.0	1.0	1	909
ht	166	18.0		1	910
	166	61.0	2.0	2	911
ht	166	60.0		1	912
ht	166	39.0		1	913
lt	166	65.0		1	914
lt	166	18.0		1	915
	166	60.0	2.0	2	916
	166	18.0	2.0	2	917
	167	55.0	2.0	2	918
	167	60.0	2.0	2	919
ht	167	60.0		1	920
ht	168	101.0		1	921
	168	47.0	2.0	2	922
ht	168	47.0		1	923
ht	169	60.0		1	924
	169	60.0	2.0	2	925
	170	57.0	2.0	2	926
	170	18.0	2.0	2	927
	170	55.0	2.0	2	928
ht	171	60.0		1	929
ht	171	101.0		1	930
	171	24.0	2.0	2	931
	171	55.0	2.0	2	932
ht	171	24.0		1	933
	171	60.0	2.0	2	934
	172	60.0	2.0	2	935
ht	173	60.0		1	936
	173	55.0	2.0	2	937
	173	60.0	2.0	2	938
lt	174	47.0		1	939
ht	174	101.0		1	940
	174	47.0	2.0	2	941
	175	24.0	2.0	2	942
	175	60.0	2.0	2	943
ht	175	60.0		1	944
ht	175	24.0		1	945
lt	175	60.0		1	946
lt	175	24.0		1	947
lt	175	47.0		1	948
	176	76.0	2.0	2	949
	177	57.0	2.0	2	950
ht	177	18.0		1	951
	177	47.0	2.0	2	952
	177	18.0	2.0	2	953
ht	178	24.0		1	954
	178	18.0	2.0	2	955
	178	60.0	2.0	2	956
ht	178	18.0		1	957
	178	55.0	2.0	2	958
ht	178	60.0		1	959
	179	60.0	2.0	2	960
ht	179	60.0		1	961
	180	61.0	2.0	2	962
	180	24.0	2.0	2	963
ht	180	24.0		1	964
	181	60.0	2.0	2	965
	181	63.0	2.0	2	966
	182	60.0	2.0	2	967
ht	182	60.0		1	968
ht	183	60.0		1	969
ht	183	24.0		1	970
	183	60.0	2.0	2	971
