id_protein	id_mlo	id_rol	id_dataset
404	3.0	1	1
404	4.0	1	1
405	5.0	1	1
406	1.0	2	2
406	1.0	1	1
407	12.0	1	1
408	1.0	2	2
408	6.0	1	1
408	1.0	1	1
409	5.0	1	1
410	1.0	2	4
410	1.0	2	2
410	1.0	4	1
410	10.0	4	1
411		3	2
412	1.0	1	1
412	1.0	2	2
413	1.0	1	1
414	2.0	1	1
415		3	2
416	1.0	1	1
417	2.0	1	1
418	39.0	2	4
419	1.0	1	1
419	1.0	2	2
419	71.0	2	3
420	1.0	1	1
420	1.0	2	2
421	3.0	3	1
421	3.0	2	2
422	3.0	2	2
422	3.0	1	1
423	2.0	1	1
424		3	2
425		3	2
426	3.0	2	2
426	3.0	1	1
427	4.0	2	2
428	2.0	1	1
429	2.0	1	1
430		3	2
431		3	2
432	6.0	2	4
432	7.0	2	3
432		3	2
433	7.0	2	3
433	7.0	4	1
433	10.0	4	1
433	6.0	2	4
434	1.0	1	1
434	6.0	1	1
435	5.0	1	1
435	2.0	1	1
436	3.0	1	1
436	1.0	1	1
436	1.0	2	2
437	1.0	2	2
437	1.0	1	1
438	7.0	1	1
439	2.0	1	1
440	1.0	1	1
441	2.0	1	1
442	2.0	1	1
443	2.0	1	1
444	1.0	1	1
444	3.0	2	2
444	3.0	1	1
445	1.0	2	2
445	1.0	2	3
445	1.0	1	1
446	2.0	1	1
447	6.0	3	1
447	2.0	3	1
448	2.0	1	1
449	5.0	1	1
450	2.0	1	1
451	7.0	3	1
451		2	4
452	5.0	1	1
453		3	2
454	3.0	3	1
454	1.0	2	2
454	1.0	3	1
455	5.0	1	1
456	2.0	1	1
457		3	2
458	2.0	1	1
459		3	2
460	2.0	1	1
461	1.0	1	1
462		3	2
463	1.0	1	1
464	5.0	1	1
464		3	2
465	2.0	1	1
466	1.0	2	3
467	2.0	1	1
468	2.0	1	1
469	4.0	2	2
469	2.0	1	1
469	4.0	1	1
470	2.0	1	1
471	2.0	1	1
472	2.0	1	1
473	7.0	3	1
474	2.0	1	1
475	2.0	1	1
476	11.0	2	3
477	2.0	1	1
478	2.0	1	1
479	27.0	1	1
480		3	2
481	2.0	1	1
482	2.0	1	1
483	3.0	1	1
484	2.0	1	1
485	2.0	1	1
486	5.0	1	1
487	1.0	1	1
487	1.0	2	2
488	5.0	1	1
489	2.0	1	1
490		3	2
490	2.0	1	1
491		3	2
492	2.0	1	1
493	2.0	1	1
494	2.0	1	1
495	2.0	1	1
496	2.0	1	1
497	1.0	1	1
497	6.0	2	3
498	2.0	1	1
498		3	2
499	5.0	1	1
499	3.0	1	1
500	2.0	1	1
501	2.0	1	1
502	2.0	1	1
503	3.0	2	2
503	3.0	1	1
504	1.0	1	1
505		3	2
506	1.0	1	1
506	1.0	2	2
507	3.0	3	1
507	5.0	3	1
508	2.0	1	1
508	3.0	1	1
509		3	2
510	11.0	2	2
510	3.0	3	1
510	11.0	3	1
511	3.0	1	1
511	3.0	2	2
512	3.0	1	1
512	4.0	2	2
512	3.0	2	2
513	2.0	1	1
513	3.0	1	1
514	1.0	1	1
514	11.0	2	4
514	3.0	2	2
514	1.0	2	4
514	1.0	2	2
514	3.0	1	1
515	2.0	1	1
516	1.0	2	2
516	1.0	1	1
517	2.0	1	1
518	1.0	1	1
518	11.0	1	1
518	1.0	2	2
519	56.0	2	4
519	5.0	1	1
520	4.0	1	1
520	3.0	1	1
520	4.0	2	2
521	3.0	3	1
522	17.0	3	1
523	1.0	1	1
523	2.0	1	1
524	5.0	1	1
525		3	2
526	1.0	2	2
526	1.0	1	1
526	1.0	2	3
527	5.0	1	1
528	2.0	1	1
529		3	2
530	4.0	3	1
531	1.0	1	1
531	2.0	1	1
532	3.0	2	2
532	4.0	1	1
532	3.0	1	1
533	2.0	1	1
534	3.0	1	1
535	3.0	2	2
535	4.0	1	1
535	8.0	1	1
535	3.0	1	1
536	3.0	3	1
536	2.0	3	1
537	3.0	1	1
538	1.0	1	1
539	5.0	1	1
540	2.0	1	1
541		3	2
542	8.0	1	1
543	2.0	1	1
544	2.0	1	1
545	12.0	1	1
546	5.0	1	1
547	3.0	3	1
548	2.0	1	1
549	5.0	1	1
550	3.0	2	2
550	3.0	3	1
550	4.0	3	1
551		3	2
552	2.0	1	1
553	5.0	1	1
554	2.0	1	1
555	1.0	1	1
556	1.0	1	1
557	2.0	1	1
557	3.0	1	1
558		3	2
558	3.0	1	1
559	5.0	1	1
560	1.0	1	1
561	5.0	1	1
562	1.0	1	1
562	1.0	2	2
562	2.0	1	1
563	1.0	1	1
564	1.0	1	1
565	1.0	1	1
565	2.0	1	1
566	3.0	2	4
566	3.0	1	1
567	1.0	1	1
568	1.0	1	1
569	5.0	1	1
570	2.0	1	1
570	1.0	2	2
570	1.0	1	1
571	10.0	4	1
572		3	2
573	1.0	1	1
573		3	2
573	2.0	1	1
574	2.0	1	1
575	1.0	2	2
575	1.0	1	1
576		3	2
577	2.0	1	1
578	2.0	1	1
579	3.0	1	1
580	7.0	1	1
581	2.0	1	1
582	2.0	1	1
583	9.0	1	1
584	1.0	2	3
584		3	2
585	2.0	1	1
586	2.0	3	1
586	3.0	3	1
587	6.0	3	1
588	3.0	3	1
589	2.0	1	1
590	2.0	1	1
591	4.0	2	2
591	4.0	1	1
591	2.0	1	1
592	3.0	3	1
593	3.0	1	1
594	5.0	1	1
594	2.0	1	1
595	4.0	3	1
595	3.0	3	1
596	8.0	1	1
596	1.0	1	1
596	6.0	2	3
596	1.0	2	2
596	3.0	1	1
597	4.0	1	1
597	4.0	2	2
598	2.0	3	1
598	3.0	3	1
599	2.0	1	1
600	2.0	1	1
601	2.0	1	1
602	2.0	1	1
603	3.0	3	1
604	2.0	1	1
605	4.0	1	1
605	4.0	2	2
606	4.0	1	1
606	4.0	2	2
607	2.0	1	1
608	34.0	4	5
608	49.0	4	5
608	10.0	3	1
608	23.0	4	5
609	3.0	1	1
610	4.0	2	2
611		3	2
612	2.0	3	1
612	3.0	3	1
612	1.0	3	1
613	3.0	1	1
613	3.0	2	2
614	2.0	1	1
614	3.0	1	1
615	7.0	1	1
616	1.0	1	1
617	1.0	1	1
618	2.0	1	1
618	1.0	1	1
619	4.0	1	1
619	2.0	1	1
619	1.0	2	2
619	1.0	1	1
620	1.0	2	2
621	5.0	1	1
622	3.0	1	1
623	5.0	4	1
623	7.0	4	1
623	7.0	2	4
623	1.0	2	4
623	9.0	4	1
623	10.0	4	1
624	3.0	3	1
624	2.0	3	1
624	4.0	3	1
624	3.0	2	4
624	1.0	3	1
624	4.0	2	2
625	2.0	1	1
626	1.0	1	1
626	2.0	1	1
627	2.0	1	1
627	5.0	1	1
628	1.0	2	2
629	2.0	1	1
630	2.0	1	1
631	3.0	3	1
631	1.0	3	1
631	4.0	3	1
632	10.0	4	1
632	48.0	4	5
632	5.0	4	1
633	4.0	1	1
633	4.0	2	2
634	2.0	1	1
635	1.0	1	1
635	2.0	1	1
636	1.0	1	1
636	4.0	2	2
636	4.0	1	1
637	1.0	2	2
637	1.0	1	1
637	3.0	1	1
638		3	2
638	2.0	1	1
639	1.0	1	1
639	4.0	2	2
639	4.0	1	1
639	2.0	1	1
640	2.0	1	1
641	3.0	1	1
641	2.0	1	1
641	3.0	2	2
642		3	2
643	2.0	3	1
643	3.0	3	1
643		3	2
643	3.0	2	2
643	1.0	2	2
643	1.0	3	1
644	1.0	2	2
644	1.0	1	1
645	13.0	2	2
645	2.0	1	1
645	4.0	2	2
646	8.0	1	1
647	2.0	1	1
648	1.0	1	1
648	1.0	2	2
649	3.0	1	1
650	5.0	1	1
650	2.0	1	1
651	1.0	1	1
652	1.0	1	1
653		3	2
654		3	2
654	5.0	1	1
655	3.0	2	4
655	10.0	4	1
655	1.0	4	1
655	5.0	4	1
655	2.0	4	1
656	2.0	1	1
656	1.0	1	1
657	5.0	1	1
658	11.0	1	1
658	1.0	2	2
658	3.0	1	1
658	5.0	1	1
658	6.0	1	1
658	1.0	1	1
659	1.0	2	2
659	2.0	1	1
659	1.0	1	1
660	4.0	1	1
660	1.0	1	1
660	4.0	2	2
660	3.0	1	1
661	3.0	2	2
661	3.0	3	1
661	4.0	3	1
661	4.0	2	3
661		3	2
661	8.0	3	1
662	1.0	1	1
662	2.0	1	1
663	2.0	1	1
663	1.0	1	1
664	1.0	2	4
664	3.0	2	2
664	1.0	2	2
664		2	4
664	1.0	4	1
664		3	2
664	5.0	4	1
664	3.0	4	1
664	10.0	4	1
664	1.0	4	5
664	80.0	4	5
665	3.0	1	1
665	2.0	1	1
666		3	2
667	2.0	1	1
668	7.0	1	1
668	7.0	2	2
669	2.0	1	1
670	1.0	1	1
670	3.0	1	1
670	1.0	2	2
671		3	2
671	1.0	1	1
672	1.0	1	1
672	3.0	1	1
672	3.0	2	2
673	3.0	1	1
673	1.0	1	1
674	1.0	1	1
675	1.0	1	1
675	1.0	2	2
675	2.0	1	1
676	2.0	1	1
677	1.0	2	2
677	1.0	1	1
678	3.0	3	1
679	2.0	3	1
679	8.0	3	1
679	3.0	3	1
679	1.0	3	1
680	4.0	2	2
680	2.0	1	1
681	1.0	1	1
681	5.0	1	1
681	3.0	1	1
681	2.0	1	1
682	3.0	1	1
682	1.0	1	1
682	1.0	2	2
682	4.0	2	2
682	4.0	1	1
683		3	2
683	2.0	1	1
683	3.0	1	1
684		3	2
685	3.0	1	1
685	2.0	1	1
686	2.0	1	1
687	22.0	2	4
687	7.0	1	1
687	5.0	1	1
688		3	2
689	3.0	1	1
689	2.0	1	1
690		3	2
691	2.0	1	1
692		3	2
692	2.0	1	1
693	4.0	3	1
693	1.0	3	1
693	1.0	2	2
693	3.0	3	1
694	2.0	1	1
695	2.0	1	1
696	1.0	1	1
697	2.0	1	1
697	1.0	1	1
698	1.0	1	1
699		3	2
700	11.0	1	1
700	6.0	1	1
700	11.0	2	2
701	21.0	3	1
701	1.0	2	2
701	1.0	3	1
701	6.0	2	3
702	2.0	1	1
703	2.0	1	1
703	1.0	1	1
703	1.0	2	2
704	1.0	1	1
704	4.0	2	2
704	1.0	2	2
705	1.0	1	1
706	2.0	1	1
706	5.0	1	1
707	2.0	1	1
708	1.0	3	1
708	2.0	3	1
708	3.0	3	1
708	4.0	3	1
708	1.0	2	2
709		3	2
710	5.0	1	1
711	1.0	1	1
712	1.0	1	1
712	4.0	1	1
712	6.0	1	1
712	1.0	2	2
713	2.0	1	1
714	1.0	1	1
714	5.0	1	1
714	2.0	1	1
715	2.0	1	1
715	1.0	1	1
716	1.0	2	2
716	1.0	1	1
717	1.0	1	1
718	2.0	1	1
718	1.0	1	1
719		3	2
719	1.0	1	1
719	1.0	2	2
720	1.0	1	1
721	2.0	1	1
722	1.0	1	1
723		3	2
724	2.0	1	1
725	2.0	1	1
726	2.0	1	1
726	16.0	1	1
727	3.0	1	1
728	2.0	1	1
729		3	2
729	1.0	1	1
730	2.0	1	1
730	1.0	1	1
731	9.0	2	4
731	6.0	4	1
731	15.0	4	1
731	13.0	2	4
731	3.0	2	4
731	3.0	2	2
731		2	4
731	13.0	2	2
731	1.0	4	1
731	1.0	2	2
731	9.0	4	1
731	3.0	4	1
731	10.0	4	1
731	19.0	4	5
731	2.0	4	1
731	8.0	4	1
732	1.0	1	1
732	11.0	1	1
732	1.0	2	2
732	6.0	1	1
733	2.0	1	1
734	1.0	1	1
734	5.0	1	1
734	3.0	1	1
734	1.0	2	2
734	2.0	1	1
735		3	2
736	2.0	1	1
737	1.0	1	1
737	2.0	1	1
738	1.0	1	1
739	1.0	1	1
739	4.0	2	2
740		3	2
741	6.0	1	1
741	6.0	2	2
742	3.0	1	1
742	3.0	2	2
743	1.0	1	1
744	8.0	1	1
744	1.0	1	1
744	2.0	1	1
745	4.0	2	2
746	3.0	2	4
746	3.0	3	1
746	4.0	2	2
746	6.0	3	1
746	13.0	2	2
747	13.0	2	2
747	2.0	1	1
747	5.0	1	1
747	4.0	2	2
747	1.0	1	1
748		3	2
749	4.0	2	2
750	4.0	2	2
751	3.0	3	1
751	2.0	3	1
752	2.0	1	1
753	1.0	1	1
753	3.0	1	1
754	3.0	1	1
754	3.0	2	2
755		2	4
756	8.0	1	1
757	3.0	2	2
757	3.0	1	1
757	13.0	2	2
758	7.0	1	1
759	7.0	4	1
759	10.0	4	1
760		3	2
761	4.0	2	2
761	1.0	2	2
761	1.0	1	1
762	7.0	1	1
763	2.0	1	1
763	1.0	1	1
764	2.0	1	1
765	3.0	1	1
766	2.0	1	1
767	42.0	4	1
767	3.0	4	1
767	68.0	2	4
767	2.0	4	1
767	65.0	4	5
767	91.0	4	5
767	5.0	4	1
767	10.0	4	1
768	2.0	1	1
769		3	2
770	1.0	1	1
770		3	2
771	3.0	2	2
771	3.0	1	1
771	2.0	1	1
771	1.0	2	2
771	1.0	1	1
772	3.0	3	1
773	2.0	1	1
774	2.0	1	1
775	3.0	3	1
775	7.0	3	1
775	1.0	3	1
775	2.0	3	1
775	4.0	2	2
775	1.0	2	2
776	5.0	1	1
776	2.0	1	1
777	1.0	1	1
777	5.0	1	1
777	13.0	2	2
777	1.0	2	2
777	2.0	1	1
777	3.0	1	1
777	4.0	2	2
778	2.0	1	1
779	2.0	1	1
779	5.0	1	1
780	1.0	1	1
780	2.0	1	1
781	2.0	1	1
782	2.0	1	1
783	2.0	1	1
784	2.0	1	1
785	3.0	3	1
786	2.0	1	1
787	2.0	1	1
788	13.0	2	2
789	5.0	1	1
790	1.0	1	1
790	5.0	1	1
790	6.0	1	1
791	1.0	2	4
791	1.0	1	1
791		3	2
791	1.0	2	2
792	4.0	2	2
792	1.0	1	1
792	5.0	1	1
792		3	2
792	1.0	2	4
792	4.0	1	1
792	1.0	2	2
