uniprot_acc	mlo	rol	db
P35580	P-body	unassigned	phasepdb_ht
P33993	P-body	unassigned	phasepdb_ht
P25311	P-body	unassigned	phasepdb_ht
P20700	P-body	unassigned	phasepdb_ht
P12956	P-body	unassigned	phasepdb_ht
P12273	P-body	unassigned	phasepdb_ht
P11388	P-body	unassigned	phasepdb_ht
P0DOY3	P-body	unassigned	phasepdb_ht
P0DOY2	P-body	unassigned	phasepdb_ht
P07910	P-body	unassigned	phasepdb_ht
P05089	P-body	unassigned	phasepdb_ht
P04792	P-body	unassigned	phasepdb_ht
P02787	P-body	unassigned	phasepdb_ht
P02768	P-body	unassigned	phasepdb_ht
P02647	P-body	unassigned	phasepdb_ht
P01876	P-body	unassigned	phasepdb_ht
O94832	P-body	unassigned	phasepdb_ht
O75367	P-body	unassigned	phasepdb_ht
O60812	P-body	unassigned	phasepdb_ht
O60264	P-body	unassigned	phasepdb_ht
O43347	P-body	unassigned	phasepdb_ht
O00567	P-body	unassigned	phasepdb_ht
O00541	P-body	unassigned	phasepdb_ht
O00159	P-body	unassigned	phasepdb_ht
A1L020	P-body	unassigned	phasepdb_ht
Q9Y6M1	Stress granule	unassigned	phasepdb_ht
Q9Y5V3	Stress granule	unassigned	phasepdb_ht
Q9Y5J1	Stress granule	unassigned	phasepdb_ht
Q9Y5A9	Stress granule	unassigned	phasepdb_ht
Q9Y520	Stress granule	unassigned	phasepdb_ht
Q9Y508	Stress granule	unassigned	phasepdb_ht
Q9Y3I0	Stress granule	unassigned	phasepdb_ht
Q9Y3F4	Stress granule	unassigned	phasepdb_ht
Q9Y3B9	Stress granule	unassigned	phasepdb_ht
Q9Y266	Stress granule	unassigned	phasepdb_ht
Q9Y262	Stress granule	unassigned	phasepdb_ht
Q9Y224	Stress granule	unassigned	phasepdb_ht
Q9UPQ9	Stress granule	unassigned	phasepdb_ht
Q9UNZ2	Stress granule	unassigned	phasepdb_ht
Q9UNW9	Stress granule	unassigned	phasepdb_ht
Q9UN86	Stress granule	unassigned	phasepdb_ht
Q9ULX6	Stress granule	unassigned	phasepdb_ht
Q9ULV4	Stress granule	unassigned	phasepdb_ht
Q9ULM3	Stress granule	unassigned	phasepdb_ht
Q9UL18	Stress granule	unassigned	phasepdb_ht
Q9UKY7	Stress granule	unassigned	phasepdb_ht
Q9UKV8	Stress granule	unassigned	phasepdb_ht
Q9UKF6	Stress granule	unassigned	phasepdb_ht
Q9UI15	Stress granule	unassigned	phasepdb_ht
Q9UHB9	Stress granule	unassigned	phasepdb_ht
Q9UGR2	Stress granule	unassigned	phasepdb_ht
Q9UBV8	Stress granule	unassigned	phasepdb_ht
Q9UBE0	Stress granule	unassigned	phasepdb_ht
Q9P2K5	Stress granule	unassigned	phasepdb_ht
Q9P287	Stress granule	unassigned	phasepdb_ht
Q9NZN8	Stress granule	unassigned	phasepdb_ht
Q9NZI8	Stress granule	unassigned	phasepdb_ht
Q9NZB2	Stress granule	unassigned	phasepdb_ht
Q9NYF8	Stress granule	unassigned	phasepdb_ht
Q9NUL3	Stress granule	unassigned	phasepdb_ht
Q9NRR4	Stress granule	unassigned	phasepdb_ht
Q9NRA8	Stress granule	unassigned	phasepdb_ht
Q9NQP4	Stress granule	unassigned	phasepdb_ht
Q9NPI6	Stress granule	unassigned	phasepdb_ht
Q9NPI1	Stress granule	unassigned	phasepdb_ht
Q9HCJ0	Stress granule	unassigned	phasepdb_ht
Q9HCC0	Stress granule	unassigned	phasepdb_ht
Q9HAU5	Stress granule	unassigned	phasepdb_ht
Q9H9Z2	Stress granule	unassigned	phasepdb_ht
Q9H910	Stress granule	unassigned	phasepdb_ht
Q9H840	Stress granule	unassigned	phasepdb_ht
Q9H7E2	Stress granule	unassigned	phasepdb_ht
Q9H773	Stress granule	unassigned	phasepdb_ht
Q9H6Z4	Stress granule	unassigned	phasepdb_ht
Q9H6S0	Stress granule	unassigned	phasepdb_ht
Q9H6R0	Stress granule	unassigned	phasepdb_ht
Q9H4A3	Stress granule	unassigned	phasepdb_ht
Q9H361	Stress granule	unassigned	phasepdb_ht
Q9H2U1	Stress granule	unassigned	phasepdb_ht
Q9H0Z9	Stress granule	unassigned	phasepdb_ht
Q9H0L4	Stress granule	unassigned	phasepdb_ht
Q9H0D6	Stress granule	unassigned	phasepdb_ht
Q9H019	Stress granule	unassigned	phasepdb_ht
Q9BZI7	Stress granule	unassigned	phasepdb_ht
Q9BYJ9	Stress granule	unassigned	phasepdb_ht
Q9BX40	Stress granule	unassigned	phasepdb_ht
Q9BWF3	Stress granule	unassigned	phasepdb_ht
Q9BUJ2	Stress granule	unassigned	phasepdb_ht
Q9BSJ8	Stress granule	unassigned	phasepdb_ht
Q9BQ61	Stress granule	unassigned	phasepdb_ht
Q9BQ04	Stress granule	unassigned	phasepdb_ht
Q99873	Stress granule	unassigned	phasepdb_ht
Q99729	Stress granule	unassigned	phasepdb_ht
Q99700	Stress granule	unassigned	phasepdb_ht
Q99698	Stress granule	unassigned	phasepdb_ht
Q99615	Stress granule	unassigned	phasepdb_ht
Q99613	Stress granule	unassigned	phasepdb_ht
Q99439	Stress granule	unassigned	phasepdb_ht
Q99417	Stress granule	unassigned	phasepdb_ht
Q96T37	Stress granule	unassigned	phasepdb_ht
Q96T21	Stress granule	unassigned	phasepdb_ht
Q96QZ7	Stress granule	unassigned	phasepdb_ht
Q96QR8	Stress granule	unassigned	phasepdb_ht
Q96PV7	Stress granule	unassigned	phasepdb_ht
Q96PU8	Stress granule	unassigned	phasepdb_ht
Q96I25	Stress granule	unassigned	phasepdb_ht
Q96I24	Stress granule	unassigned	phasepdb_ht
Q96HC4	Stress granule	unassigned	phasepdb_ht
Q96EP5	Stress granule	unassigned	phasepdb_ht
Q96DH6	Stress granule	unassigned	phasepdb_ht
Q96CX2	Stress granule	unassigned	phasepdb_ht
Q96CT7	Stress granule	unassigned	phasepdb_ht
Q96AE4	Stress granule	unassigned	phasepdb_ht
Q96A57	Stress granule	unassigned	phasepdb_ht
Q969T9	Stress granule	unassigned	phasepdb_ht
Q92973	Stress granule	unassigned	phasepdb_ht
Q92945	Stress granule	unassigned	phasepdb_ht
Q92901	Stress granule	unassigned	phasepdb_ht
Q92900	Stress granule	unassigned	phasepdb_ht
Q92879	Stress granule	unassigned	phasepdb_ht
Q92804	Stress granule	unassigned	phasepdb_ht
Q92615	Stress granule	unassigned	phasepdb_ht
Q92575	Stress granule	unassigned	phasepdb_ht
Q92567	Stress granule	unassigned	phasepdb_ht
Q92499	Stress granule	unassigned	phasepdb_ht
Q8WXF1	Stress granule	unassigned	phasepdb_ht
Q8WWM7	Stress granule	unassigned	phasepdb_ht
Q8WUA4	Stress granule	unassigned	phasepdb_ht
Q8TCS8	Stress granule	unassigned	phasepdb_ht
Q8TB72	Stress granule	unassigned	phasepdb_ht
Q8NE71	Stress granule	unassigned	phasepdb_ht
Q8NDV7	Stress granule	unassigned	phasepdb_ht
Q8ND56	Stress granule	unassigned	phasepdb_ht
Q8ND24	Stress granule	unassigned	phasepdb_ht
Q8NCA5	Stress granule	unassigned	phasepdb_ht
Q8NC51	Stress granule	unassigned	phasepdb_ht
Q8IZH2	Stress granule	unassigned	phasepdb_ht
Q8IZD4	Stress granule	unassigned	phasepdb_ht
Q8IXT5	Stress granule	unassigned	phasepdb_ht
Q86XZ4	Stress granule	unassigned	phasepdb_ht
Q86X55	Stress granule	unassigned	phasepdb_ht
Q86V48	Stress granule	unassigned	phasepdb_ht
Q86TG7	Stress granule	unassigned	phasepdb_ht
Q7Z739	Stress granule	unassigned	phasepdb_ht
Q7Z417	Stress granule	unassigned	phasepdb_ht
Q7Z2W4	Stress granule	unassigned	phasepdb_ht
Q7L2E3	Stress granule	unassigned	phasepdb_ht
Q7L099	Stress granule	unassigned	phasepdb_ht
Q7KZF4	Stress granule	unassigned	phasepdb_ht
Q71RC2	Stress granule	unassigned	phasepdb_ht
Q702N8	Stress granule	unassigned	phasepdb_ht
Q6ZN17	Stress granule	unassigned	phasepdb_ht
Q6ZN04	Stress granule	unassigned	phasepdb_ht
Q6Y7W6	Stress granule	unassigned	phasepdb_ht
Q6UW02	Stress granule	unassigned	phasepdb_ht
Q6P2E9	Stress granule	unassigned	phasepdb_ht
Q6P1Q9	Stress granule	unassigned	phasepdb_ht
Q6IA86	Stress granule	unassigned	phasepdb_ht
Q659C4	Stress granule	unassigned	phasepdb_ht
Q5TF21	Stress granule	unassigned	phasepdb_ht
Q5TC82	Stress granule	unassigned	phasepdb_ht
Q5TAX3	Stress granule	unassigned	phasepdb_ht
Q5T6F2	Stress granule	unassigned	phasepdb_ht
Q5T5Y3	Stress granule	unassigned	phasepdb_ht
Q5SZQ8	Stress granule	unassigned	phasepdb_ht
Q5PRF9	Stress granule	unassigned	phasepdb_ht
Q5JSZ5	Stress granule	unassigned	phasepdb_ht
Q3MHD2	Stress granule	unassigned	phasepdb_ht
Q17RY0	Stress granule	unassigned	phasepdb_ht
Q16740	Stress granule	unassigned	phasepdb_ht
Q16637	Stress granule	unassigned	phasepdb_ht
Q16629	Stress granule	unassigned	phasepdb_ht
Q15717	Stress granule	unassigned	phasepdb_ht
Q15654	Stress granule	unassigned	phasepdb_ht
Q15637	Stress granule	unassigned	phasepdb_ht
Q15555	Stress granule	unassigned	phasepdb_ht
Q15436	Stress granule	unassigned	phasepdb_ht
Q15434	Stress granule	unassigned	phasepdb_ht
Q15424	Stress granule	unassigned	phasepdb_ht
Q15366	Stress granule	unassigned	phasepdb_ht
Q15365	Stress granule	unassigned	phasepdb_ht
Q15274	Stress granule	unassigned	phasepdb_ht
Q15056	Stress granule	unassigned	phasepdb_ht
Q15032	Stress granule	unassigned	phasepdb_ht
Q15005	Stress granule	unassigned	phasepdb_ht
Q15004	Stress granule	unassigned	phasepdb_ht
Q14978	Stress granule	unassigned	phasepdb_ht
Q14847	Stress granule	unassigned	phasepdb_ht
Q14694	Stress granule	unassigned	phasepdb_ht
Q14677	Stress granule	unassigned	phasepdb_ht
Q14671	Stress granule	unassigned	phasepdb_ht
Q14576	Stress granule	unassigned	phasepdb_ht
Q14493	Stress granule	unassigned	phasepdb_ht
Q14444	Stress granule	unassigned	phasepdb_ht
Q14258	Stress granule	unassigned	phasepdb_ht
Q14247	Stress granule	unassigned	phasepdb_ht
Q14240	Stress granule	unassigned	phasepdb_ht
Q14157	Stress granule	unassigned	phasepdb_ht
Q14152	Stress granule	unassigned	phasepdb_ht
Q14151	Stress granule	unassigned	phasepdb_ht
Q14011	Stress granule	unassigned	phasepdb_ht
Q13642	Stress granule	unassigned	phasepdb_ht
Q13442	Stress granule	unassigned	phasepdb_ht
Q13427	Stress granule	unassigned	phasepdb_ht
Q13347	Stress granule	unassigned	phasepdb_ht
Q13310	Stress granule	unassigned	phasepdb_ht
Q13283	Stress granule	unassigned	phasepdb_ht
Q13243	Stress granule	unassigned	phasepdb_ht
Q13242	Stress granule	unassigned	phasepdb_ht
Q13185	Stress granule	unassigned	phasepdb_ht
Q13162	Stress granule	unassigned	phasepdb_ht
Q13155	Stress granule	unassigned	phasepdb_ht
Q12972	Stress granule	unassigned	phasepdb_ht
Q12926	Stress granule	unassigned	phasepdb_ht
Q12874	Stress granule	unassigned	phasepdb_ht
Q12849	Stress granule	unassigned	phasepdb_ht
Q07955	Stress granule	unassigned	phasepdb_ht
Q06830	Stress granule	unassigned	phasepdb_ht
Q06787	Stress granule	unassigned	phasepdb_ht
Q04760	Stress granule	unassigned	phasepdb_ht
Q04637	Stress granule	unassigned	phasepdb_ht
Q02952	Stress granule	unassigned	phasepdb_ht
Q01804	Stress granule	unassigned	phasepdb_ht
Q01085	Stress granule	unassigned	phasepdb_ht
Q00796	Stress granule	unassigned	phasepdb_ht
Q00577	Stress granule	unassigned	phasepdb_ht
P98179	Stress granule	unassigned	phasepdb_ht
P67809	Stress granule	unassigned	phasepdb_ht
P63241	Stress granule	unassigned	phasepdb_ht
P62993	Stress granule	unassigned	phasepdb_ht
P62847	Stress granule	unassigned	phasepdb_ht
P62280	Stress granule	unassigned	phasepdb_ht
P61758	Stress granule	unassigned	phasepdb_ht
P61019	Stress granule	unassigned	phasepdb_ht
P60842	Stress granule	unassigned	phasepdb_ht
P60520	Stress granule	unassigned	phasepdb_ht
P60510	Stress granule	unassigned	phasepdb_ht
P60228	Stress granule	unassigned	phasepdb_ht
P58546	Stress granule	unassigned	phasepdb_ht
P56537	Stress granule	unassigned	phasepdb_ht
P56192	Stress granule	unassigned	phasepdb_ht
P55884	Stress granule	unassigned	phasepdb_ht
P55795	Stress granule	unassigned	phasepdb_ht
P54727	Stress granule	unassigned	phasepdb_ht
P53992	Stress granule	unassigned	phasepdb_ht
P52701	Stress granule	unassigned	phasepdb_ht
P52597	Stress granule	unassigned	phasepdb_ht
P52294	Stress granule	unassigned	phasepdb_ht
P52272	Stress granule	unassigned	phasepdb_ht
P51991	Stress granule	unassigned	phasepdb_ht
P51784	Stress granule	unassigned	phasepdb_ht
P51648	Stress granule	unassigned	phasepdb_ht
P51116	Stress granule	unassigned	phasepdb_ht
P51114	Stress granule	unassigned	phasepdb_ht
P50995	Stress granule	unassigned	phasepdb_ht
P50579	Stress granule	unassigned	phasepdb_ht
P49756	Stress granule	unassigned	phasepdb_ht
P49750	Stress granule	unassigned	phasepdb_ht
P48634	Stress granule	unassigned	phasepdb_ht
P46109	Stress granule	unassigned	phasepdb_ht
P46063	Stress granule	unassigned	phasepdb_ht
P46060	Stress granule	unassigned	phasepdb_ht
P43487	Stress granule	unassigned	phasepdb_ht
P43304	Stress granule	unassigned	phasepdb_ht
P42694	Stress granule	unassigned	phasepdb_ht
P38919	Stress granule	unassigned	phasepdb_ht
P38432	Stress granule	unassigned	phasepdb_ht
P38159	Stress granule	unassigned	phasepdb_ht
P37802	Stress granule	unassigned	phasepdb_ht
P35637	Stress granule	unassigned	phasepdb_ht
P35611	Stress granule	unassigned	phasepdb_ht
P35606	Stress granule	unassigned	phasepdb_ht
P31943	Stress granule	unassigned	phasepdb_ht
P31942	Stress granule	unassigned	phasepdb_ht
P31483	Stress granule	unassigned	phasepdb_ht
P30626	Stress granule	unassigned	phasepdb_ht
P30101	Stress granule	unassigned	phasepdb_ht
P29558	Stress granule	unassigned	phasepdb_ht
P27816	Stress granule	unassigned	phasepdb_ht
P27348	Stress granule	unassigned	phasepdb_ht
P26599	Stress granule	unassigned	phasepdb_ht
P26378	Stress granule	unassigned	phasepdb_ht
P26196	Stress granule	unassigned	phasepdb_ht
P23588	Stress granule	unassigned	phasepdb_ht
P22626	Stress granule	unassigned	phasepdb_ht
P22105	Stress granule	unassigned	phasepdb_ht
P22061	Stress granule	unassigned	phasepdb_ht
P20073	Stress granule	unassigned	phasepdb_ht
P18615	Stress granule	unassigned	phasepdb_ht
P16989	Stress granule	unassigned	phasepdb_ht
P15170	Stress granule	unassigned	phasepdb_ht
P11940	Stress granule	unassigned	phasepdb_ht
P10809	Stress granule	unassigned	phasepdb_ht
P10155	Stress granule	unassigned	phasepdb_ht
P0DPI2	Stress granule	unassigned	phasepdb_ht
P0CB38	Stress granule	unassigned	phasepdb_ht
P09651	Stress granule	unassigned	phasepdb_ht
P07237	Stress granule	unassigned	phasepdb_ht
P06748	Stress granule	unassigned	phasepdb_ht
P06730	Stress granule	unassigned	phasepdb_ht
P05198	Stress granule	unassigned	phasepdb_ht
P05165	Stress granule	unassigned	phasepdb_ht
P04080	Stress granule	unassigned	phasepdb_ht
O95793	Stress granule	unassigned	phasepdb_ht
O95758	Stress granule	unassigned	phasepdb_ht
O95453	Stress granule	unassigned	phasepdb_ht
O95429	Stress granule	unassigned	phasepdb_ht
O95416	Stress granule	unassigned	phasepdb_ht
O95319	Stress granule	unassigned	phasepdb_ht
O76003	Stress granule	unassigned	phasepdb_ht
O75880	Stress granule	unassigned	phasepdb_ht
O75822	Stress granule	unassigned	phasepdb_ht
O75821	Stress granule	unassigned	phasepdb_ht
O75534	Stress granule	unassigned	phasepdb_ht
O75420	Stress granule	unassigned	phasepdb_ht
O75340	Stress granule	unassigned	phasepdb_ht
O75152	Stress granule	unassigned	phasepdb_ht
O60739	Stress granule	unassigned	phasepdb_ht
O60506	Stress granule	unassigned	phasepdb_ht
O60306	Stress granule	unassigned	phasepdb_ht
O43432	Stress granule	unassigned	phasepdb_ht
O43347	Stress granule	unassigned	phasepdb_ht
O43303	Stress granule	unassigned	phasepdb_ht
O15523	Stress granule	unassigned	phasepdb_ht
O15372	Stress granule	unassigned	phasepdb_ht
O15371	Stress granule	unassigned	phasepdb_ht
O15234	Stress granule	unassigned	phasepdb_ht
O15226	Stress granule	unassigned	phasepdb_ht
O15116	Stress granule	unassigned	phasepdb_ht
O15067	Stress granule	unassigned	phasepdb_ht
O14979	Stress granule	unassigned	phasepdb_ht
O00571	Stress granule	unassigned	phasepdb_ht
O00505	Stress granule	unassigned	phasepdb_ht
O00425	Stress granule	unassigned	phasepdb_ht
C9JLW8	Stress granule	unassigned	phasepdb_ht
A5YKK6	Stress granule	unassigned	phasepdb_ht
A1L020	Stress granule	unassigned	phasepdb_ht
A1KXE4	Stress granule	unassigned	phasepdb_ht
Q9Y6W6		regulator	phasepdb_ht
Q9Y6T7		regulator	phasepdb_ht
Q9Y6S9		regulator	phasepdb_ht
Q9Y6R4		regulator	phasepdb_ht
Q9Y6M4		regulator	phasepdb_ht
Q9Y6K9		regulator	phasepdb_ht
Q9Y6J8		regulator	phasepdb_ht
Q9Y6J0		regulator	phasepdb_ht
Q9Y6E0		regulator	phasepdb_ht
Q9Y616		regulator	phasepdb_ht
Q9Y5P8		regulator	phasepdb_ht
Q9Y5P4		regulator	phasepdb_ht
Q9Y5L3		regulator	phasepdb_ht
Q9Y5J1		regulator	phasepdb_ht
Q9Y5B8		regulator	phasepdb_ht
Q9Y5B0		regulator	phasepdb_ht
Q9Y4C4		regulator	phasepdb_ht
Q9Y4A5		regulator	phasepdb_ht
Q9Y333		regulator	phasepdb_ht
Q9Y2X3		regulator	phasepdb_ht
Q9Y2U5		regulator	phasepdb_ht
Q9Y2K1		regulator	phasepdb_ht
Q9Y2H2		regulator	phasepdb_ht
Q9Y2H1		regulator	phasepdb_ht
Q9Y2F5		regulator	phasepdb_ht
Q9Y243		regulator	phasepdb_ht
Q9Y237		regulator	phasepdb_ht
Q9Y227		regulator	phasepdb_ht
Q9Y216		regulator	phasepdb_ht
Q9UQM7		regulator	phasepdb_ht
Q9UQ80		regulator	phasepdb_ht
Q9UQ35		regulator	phasepdb_ht
Q9UQ07		regulator	phasepdb_ht
Q9UPZ9		regulator	phasepdb_ht
Q9UPN7		regulator	phasepdb_ht
Q9UNW1		regulator	phasepdb_ht
Q9UNH5		regulator	phasepdb_ht
Q9UNF0		regulator	phasepdb_ht
Q9UMS4		regulator	phasepdb_ht
Q9ULZ3		regulator	phasepdb_ht
Q9ULZ2		regulator	phasepdb_ht
Q9ULU4		regulator	phasepdb_ht
Q9ULL4		regulator	phasepdb_ht
Q9UKV8		regulator	phasepdb_ht
Q9UKV3		regulator	phasepdb_ht
Q9UKS6		regulator	phasepdb_ht
Q9UKK9		regulator	phasepdb_ht
Q9UKE5		regulator	phasepdb_ht
Q9UJ70		regulator	phasepdb_ht
Q9UIW2		regulator	phasepdb_ht
Q9UIK4		regulator	phasepdb_ht
Q9UIF9		regulator	phasepdb_ht
Q9UHY1		regulator	phasepdb_ht
Q9UHK0		regulator	phasepdb_ht
Q9UGN5		regulator	phasepdb_ht
Q9UEE5		regulator	phasepdb_ht
Q9UBW7		regulator	phasepdb_ht
Q9UBG0		regulator	phasepdb_ht
Q9UBF8		regulator	phasepdb_ht
Q9UBB9		regulator	phasepdb_ht
Q9P2J9		regulator	phasepdb_ht
Q9P0V3		regulator	phasepdb_ht
Q9P0U4		regulator	phasepdb_ht
Q9P0M2		regulator	phasepdb_ht
Q9NZV1		regulator	phasepdb_ht
Q9NZJ9		regulator	phasepdb_ht
Q9NZJ5		regulator	phasepdb_ht
Q9NZI8		regulator	phasepdb_ht
Q9NYY3		regulator	phasepdb_ht
Q9NYV4		regulator	phasepdb_ht
Q9NYL2		regulator	phasepdb_ht
Q9NYA1		regulator	phasepdb_ht
Q9NY93		regulator	phasepdb_ht
Q9NY61		regulator	phasepdb_ht
Q9NXD2		regulator	phasepdb_ht
Q9NX58		regulator	phasepdb_ht
Q9NWZ3		regulator	phasepdb_ht
Q9NW13		regulator	phasepdb_ht
Q9NUQ6		regulator	phasepdb_ht
Q9NSY1		regulator	phasepdb_ht
Q9NRW4		regulator	phasepdb_ht
Q9NRR6		regulator	phasepdb_ht
Q9NRR3		regulator	phasepdb_ht
Q9NRM7		regulator	phasepdb_ht
Q9NRD5		regulator	phasepdb_ht
Q9NRC8		regulator	phasepdb_ht
Q9NRA0		regulator	phasepdb_ht
Q9NR30		regulator	phasepdb_ht
Q9NR20		regulator	phasepdb_ht
Q9NQZ2		regulator	phasepdb_ht
Q9NQR1		regulator	phasepdb_ht
Q9NPI6		regulator	phasepdb_ht
Q9NPI5		regulator	phasepdb_ht
Q9HD43		regulator	phasepdb_ht
Q9HCE1		regulator	phasepdb_ht
Q9HC98		regulator	phasepdb_ht
Q9HC62		regulator	phasepdb_ht
Q9HC16		regulator	phasepdb_ht
Q9HBY8		regulator	phasepdb_ht
Q9HBU6		regulator	phasepdb_ht
Q9HAZ1		regulator	phasepdb_ht
Q9HA47		regulator	phasepdb_ht
Q9H999		regulator	phasepdb_ht
Q9H8X2		regulator	phasepdb_ht
Q9H792		regulator	phasepdb_ht
Q9H4L4		regulator	phasepdb_ht
Q9H4B4		regulator	phasepdb_ht
Q9H4A3		regulator	phasepdb_ht
Q9H479		regulator	phasepdb_ht
Q9H477		regulator	phasepdb_ht
Q9H3Y6		regulator	phasepdb_ht
Q9H2X6		regulator	phasepdb_ht
Q9H2U2		regulator	phasepdb_ht
Q9H0S4		regulator	phasepdb_ht
Q9H0K1		regulator	phasepdb_ht
Q9H0G5		regulator	phasepdb_ht
Q9H0C8		regulator	phasepdb_ht
Q9H089		regulator	phasepdb_ht
Q9GZU7		regulator	phasepdb_ht
Q9GZM8		regulator	phasepdb_ht
Q9C0K7		regulator	phasepdb_ht
Q9C0I1		regulator	phasepdb_ht
Q9C098		regulator	phasepdb_ht
Q9BZV1		regulator	phasepdb_ht
Q9BZL4		regulator	phasepdb_ht
Q9BZG2		regulator	phasepdb_ht
Q9BZE4		regulator	phasepdb_ht
Q9BZ23		regulator	phasepdb_ht
Q9BYT3		regulator	phasepdb_ht
Q9BYP7		regulator	phasepdb_ht
Q9BYG3		regulator	phasepdb_ht
Q9BY84		regulator	phasepdb_ht
Q9BY77		regulator	phasepdb_ht
Q9BY11		regulator	phasepdb_ht
Q9BX95		regulator	phasepdb_ht
Q9BWU1		regulator	phasepdb_ht
Q9BVP2		regulator	phasepdb_ht
Q9BV47		regulator	phasepdb_ht
Q9BUR4		regulator	phasepdb_ht
Q9BUQ8		regulator	phasepdb_ht
Q9BUM1		regulator	phasepdb_ht
Q9BUB5		regulator	phasepdb_ht
Q9BTU6		regulator	phasepdb_ht
Q9BT49		regulator	phasepdb_ht
Q9BT40		regulator	phasepdb_ht
Q9BRR6		regulator	phasepdb_ht
Q9BQI3		regulator	phasepdb_ht
Q9BQA5		regulator	phasepdb_ht
Q99986		regulator	phasepdb_ht
Q99959		regulator	phasepdb_ht
Q99956		regulator	phasepdb_ht
Q99848		regulator	phasepdb_ht
Q99759		regulator	phasepdb_ht
Q99704		regulator	phasepdb_ht
Q99700		regulator	phasepdb_ht
Q99697		regulator	phasepdb_ht
Q99684		regulator	phasepdb_ht
Q99640		regulator	phasepdb_ht
Q99590		regulator	phasepdb_ht
Q99574		regulator	phasepdb_ht
Q99570		regulator	phasepdb_ht
Q99558		regulator	phasepdb_ht
Q99437		regulator	phasepdb_ht
Q96T60		regulator	phasepdb_ht
Q96T49		regulator	phasepdb_ht
Q96SB4		regulator	phasepdb_ht
Q96S53		regulator	phasepdb_ht
Q96S38		regulator	phasepdb_ht
Q96RU7		regulator	phasepdb_ht
Q96RU2		regulator	phasepdb_ht
Q96RR4		regulator	phasepdb_ht
Q96RE7		regulator	phasepdb_ht
Q96QZ7		regulator	phasepdb_ht
Q96QS6		regulator	phasepdb_ht
Q96QG7		regulator	phasepdb_ht
Q96Q77		regulator	phasepdb_ht
Q96Q15		regulator	phasepdb_ht
Q96PF2		regulator	phasepdb_ht
Q96NX5		regulator	phasepdb_ht
Q96NT1		regulator	phasepdb_ht
Q96MF7		regulator	phasepdb_ht
Q96M32		regulator	phasepdb_ht
Q96LZ3		regulator	phasepdb_ht
Q96L34		regulator	phasepdb_ht
Q96JB8		regulator	phasepdb_ht
Q96J92		regulator	phasepdb_ht
Q96J77		regulator	phasepdb_ht
Q96IZ7		regulator	phasepdb_ht
Q96IF1		regulator	phasepdb_ht
Q96GN5		regulator	phasepdb_ht
Q96GM8		regulator	phasepdb_ht
Q96GD0		regulator	phasepdb_ht
Q96EP1		regulator	phasepdb_ht
Q96EB6		regulator	phasepdb_ht
Q96C45		regulator	phasepdb_ht
Q96A00		regulator	phasepdb_ht
Q969Q6		regulator	phasepdb_ht
Q969G6		regulator	phasepdb_ht
Q969G5		regulator	phasepdb_ht
Q93100		regulator	phasepdb_ht
Q92993		regulator	phasepdb_ht
Q92968		regulator	phasepdb_ht
Q92932		regulator	phasepdb_ht
Q92918		regulator	phasepdb_ht
Q92824		regulator	phasepdb_ht
Q92794		regulator	phasepdb_ht
Q92793		regulator	phasepdb_ht
Q92729		regulator	phasepdb_ht
Q92688		regulator	phasepdb_ht
Q92686		regulator	phasepdb_ht
Q92630		regulator	phasepdb_ht
Q92615		regulator	phasepdb_ht
Q92519		regulator	phasepdb_ht
Q92499		regulator	phasepdb_ht
Q8WYL5		regulator	phasepdb_ht
Q8WY54		regulator	phasepdb_ht
Q8WXI3		regulator	phasepdb_ht
Q8WXG6		regulator	phasepdb_ht
Q8WXF1		regulator	phasepdb_ht
Q8WXD5		regulator	phasepdb_ht
Q8WWM7		regulator	phasepdb_ht
Q8WV44		regulator	phasepdb_ht
Q8WU08		regulator	phasepdb_ht
Q8TF05		regulator	phasepdb_ht
Q8TEQ6		regulator	phasepdb_ht
Q8TE99		regulator	phasepdb_ht
Q8TE04		regulator	phasepdb_ht
Q8TDX7		regulator	phasepdb_ht
Q8TDD1		regulator	phasepdb_ht
Q8TD08		regulator	phasepdb_ht
Q8TB72		regulator	phasepdb_ht
Q8NI37		regulator	phasepdb_ht
Q8NHV4		regulator	phasepdb_ht
Q8NFU5		regulator	phasepdb_ht
Q8NFD2		regulator	phasepdb_ht
Q8NEJ9		regulator	phasepdb_ht
Q8NEJ0		regulator	phasepdb_ht
Q8NEB9		regulator	phasepdb_ht
Q8ND56		regulator	phasepdb_ht
Q8N752		regulator	phasepdb_ht
Q8N6T7		regulator	phasepdb_ht
Q8N6H7		regulator	phasepdb_ht
Q8N5S9		regulator	phasepdb_ht
Q8N5P1		regulator	phasepdb_ht
Q8N4P3		regulator	phasepdb_ht
Q8N4C6		regulator	phasepdb_ht
Q8N441		regulator	phasepdb_ht
Q8N427		regulator	phasepdb_ht
Q8N3R9		regulator	phasepdb_ht
Q8N3J5		regulator	phasepdb_ht
Q8N2I9		regulator	phasepdb_ht
Q8N0W3		regulator	phasepdb_ht
Q8IZX4		regulator	phasepdb_ht
Q8IZL9		regulator	phasepdb_ht
Q8IZL8		regulator	phasepdb_ht
Q8IZE3		regulator	phasepdb_ht
Q8IZD4		regulator	phasepdb_ht
Q8IYT8		regulator	phasepdb_ht
Q8IWU2		regulator	phasepdb_ht
Q8IWQ3		regulator	phasepdb_ht
Q8IWB6		regulator	phasepdb_ht
Q8IVT5		regulator	phasepdb_ht
