uniprot_acc	mlo	rol	db
P78352	Pre and postsynaptic density	unassigned	phasepdb_rev
Q9BZB8	Stress granule	unassigned	phasepdb_rev
P26196	Stress granule	unassigned	phasepdb_rev
O00571	Stress granule	unassigned	phasepdb_rev
Q9NPI6	Stress granule	unassigned	phasepdb_rev
Q8IZD4	Stress granule	unassigned	phasepdb_rev
Q13283	Stress granule	unassigned	phasepdb_rev
O43781	Stress granule	regulator	phasepdb_rev
P63244	Stress granule	unassigned	phasepdb_rev
P26651	Stress granule	unassigned	phasepdb_rev
P38432	Cajal body	unassigned	phasepdb_rev
O15116	P-body	unassigned	phasepdb_rev
Q9Y333	P-body	unassigned	phasepdb_rev
P62310	P-body	unassigned	phasepdb_rev
Q9Y4Z0	P-body	unassigned	phasepdb_rev
Q9Y4Y9	P-body	unassigned	phasepdb_rev
P62312	P-body	unassigned	phasepdb_rev
Q9UK45	P-body	unassigned	phasepdb_rev
Q8IU60	P-body	unassigned	phasepdb_rev
Q9NPI6	P-body	unassigned	phasepdb_rev
Q8IZD4	P-body	unassigned	phasepdb_rev
Q8IZH2	P-body	unassigned	phasepdb_rev
O14641	Stress granule	unassigned	phasepdb_rev
P35637		unassigned	phasepdb_rev
P22626		unassigned	phasepdb_rev
P16333		unassigned	phasepdb_rev
P16333	Membrane cluster	unassigned	phasepdb_rev
O60500	Membrane cluster	unassigned	phasepdb_rev
O00401	Membrane cluster	unassigned	phasepdb_rev
O43561	Membrane cluster	unassigned	phasepdb_rev
P62993	Signaling puncta	unassigned	phasepdb_rev
O75791	Signaling puncta	unassigned	phasepdb_rev
Q13094	Signaling puncta	unassigned	phasepdb_rev
P35637	Paraspeckle	unassigned	phasepdb_rev
Q96PK6	Paraspeckle	unassigned	phasepdb_rev
Q9NQI0		unassigned	phasepdb_rev
P35637	Stress granule	unassigned	phasepdb_rev
P09651	Stress granule	unassigned	phasepdb_rev
P22626	Stress granule	unassigned	phasepdb_rev
Q15233	Paraspeckle	unassigned	phasepdb_rev
P29590	PML nuclear body	unassigned	phasepdb_rev
Q8WXF1	Paraspeckle	unassigned	phasepdb_rev
P23246	Paraspeckle	unassigned	phasepdb_rev
P17480	Nucleolus	unassigned	phasepdb_rev
P06748	Nucleolus	unassigned	phasepdb_rev
Q01844	P-body	unassigned	phasepdb_rev
Q01844	Stress granule	unassigned	phasepdb_rev
P35637	P-body	unassigned	phasepdb_rev
Q92804	P-body	unassigned	phasepdb_rev
Q92804	Stress granule	unassigned	phasepdb_rev
P22087	Nucleolus	unassigned	phasepdb_rev
Q9GZS1	Nucleolus	unassigned	phasepdb_rev
Q01130		unassigned	phasepdb_rev
Q96LT7	Nucleolus	unassigned	phasepdb_rev
Q13148		unassigned	phasepdb_rev
Q96PV0	Pre and postsynaptic density	unassigned	phasepdb_rev
Q14207	Histone locus body	unassigned	phasepdb_rev
Q16637	Cajal body	unassigned	phasepdb_rev
Q9BUR4	Cajal body	unassigned	phasepdb_rev
Q96LT7		unassigned	phasepdb_rev
Q9BY44	Stress granule	unassigned	phasepdb_rev
P24928		unassigned	phasepdb_rev
Q9UKL3	Histone locus body	unassigned	phasepdb_rev
Q07666	Sam68 nuclear body	unassigned	phasepdb_rev
P52948	Nuclear pore complex	unassigned	phasepdb_rev
Q01130	Nuclear speckle	unassigned	phasepdb_rev
Q99996	Centrosome	unassigned	phasepdb_rev
Q6IMN6	RNP granules	unassigned	phasepdb_rev
O00571	P granule	unassigned	phasepdb_rev
Q15723	Stress granule	unassigned	phasepdb_rev
O95613	Centrosome	unassigned	phasepdb_rev
P00441	Stress granule	unassigned	phasepdb_rev
P63279	Stress granule	unassigned	phasepdb_rev
P40337	Stress granule	unassigned	phasepdb_rev
P04792	Stress granule	unassigned	phasepdb_rev
P0DMV8	Stress granule	unassigned	phasepdb_rev
P55072	Stress granule	unassigned	phasepdb_rev
Q01844	Neuronal inclusions	unassigned	phasepdb_rev
P09651	RNP granules	unassigned	phasepdb_rev
P22626	RNP granules	unassigned	phasepdb_rev
Q92804	Neuronal inclusions	unassigned	phasepdb_rev
Q99700	Stress granule	unassigned	phasepdb_rev
P11940	Stress granule	unassigned	phasepdb_rev
P46013	Nucleolus	unassigned	phasepdb_rev
Q9H9Y6	Nucleolus	unassigned	phasepdb_rev
P56182	Nucleolus	unassigned	phasepdb_rev
Q9NRC8	Nucleolus	unassigned	phasepdb_rev
Q13428	Nucleolus	unassigned	phasepdb_rev
Q9NWB1	Nuclear speckle	unassigned	phasepdb_rev
Q13148	Stress granule	unassigned	phasepdb_rev
Q16082	Nuclear Compartments	unassigned	phasepdb_rev
Q12988	Nuclear Compartments	unassigned	phasepdb_rev
P17931		unassigned	phasepdb_rev
B1PRL2	Transcription Factories	unassigned	phasepdb_rev
P15502		unassigned	phasepdb_rev
Q5TGY3	Paraspeckle	unassigned	phasepdb_rev
Q9ULX6	Paraspeckle	unassigned	phasepdb_rev
Q96J87	Paraspeckle	unassigned	phasepdb_rev
Q14011	Paraspeckle	unassigned	phasepdb_rev
Q8N684	Paraspeckle	unassigned	phasepdb_rev
Q96EP5	Paraspeckle	unassigned	phasepdb_rev
O60479	Paraspeckle	unassigned	phasepdb_rev
Q01844	Paraspeckle	unassigned	phasepdb_rev
Q8NCA5	Paraspeckle	unassigned	phasepdb_rev
Q9H1Q7	Paraspeckle	unassigned	phasepdb_rev
Q5HY92	Paraspeckle	unassigned	phasepdb_rev
P09651	Paraspeckle	unassigned	phasepdb_rev
Q32P51	Paraspeckle	unassigned	phasepdb_rev
P52597	Paraspeckle	unassigned	phasepdb_rev
P31943	Paraspeckle	unassigned	phasepdb_rev
P31942	Paraspeckle	unassigned	phasepdb_rev
P61978	Paraspeckle	unassigned	phasepdb_rev
O43390	Paraspeckle	unassigned	phasepdb_rev
Q9BUJ2	Paraspeckle	unassigned	phasepdb_rev
Q5U5Q3	Paraspeckle	unassigned	phasepdb_rev
O43809	Paraspeckle	unassigned	phasepdb_rev
P98179	Paraspeckle	unassigned	phasepdb_rev
Q9BQ04	Paraspeckle	unassigned	phasepdb_rev
Q9Y580	Paraspeckle	unassigned	phasepdb_rev
Q9NTZ6	Paraspeckle	unassigned	phasepdb_rev
P38159	Paraspeckle	unassigned	phasepdb_rev
Q13761	Paraspeckle	unassigned	phasepdb_rev
O75494	Paraspeckle	unassigned	phasepdb_rev
O75177	Paraspeckle	unassigned	phasepdb_rev
Q92804	Paraspeckle	unassigned	phasepdb_rev
Q14157	Paraspeckle	unassigned	phasepdb_rev
P61129	Paraspeckle	unassigned	phasepdb_rev
Q9H4Z2	Paraspeckle	unassigned	phasepdb_rev
Q13148	Paraspeckle	unassigned	phasepdb_rev
Q16630	Paraspeckle	unassigned	phasepdb_rev
Q13501		unassigned	phasepdb_rev
Q14596		unassigned	phasepdb_rev
Q9GZQ8		unassigned	phasepdb_rev
P42858		unassigned	phasepdb_rev
P78344		unassigned	phasepdb_rev
Q13501	Stress granule	regulator	phasepdb_rev
P31483	Stress granule	regulator	phasepdb_rev
Q9NZI8	Stress granule	unassigned	phasepdb_rev
P10636	TAU protein	unassigned	phasepdb_rev
Q04637	Stress granule	unassigned	phasepdb_rev
Q9UKV8	miRISC	unassigned	phasepdb_rev
Q9UPQ9	miRISC	unassigned	phasepdb_rev
P63165	PML nuclear body	unassigned	phasepdb_rev
P45973	Heterochromatin	unassigned	phasepdb_rev
Q96GD4		unassigned	phasepdb_rev
P55060	Stress granule	unassigned	phasepdb_rev
Q14974	Stress granule	unassigned	phasepdb_rev
Q92973	Stress granule	regulator	phasepdb_rev
Q15717	Stress granule	unassigned	phasepdb_rev
Q14152	Stress granule	unassigned	phasepdb_rev
O60563	Transcription Factories	unassigned	phasepdb_rev
P50750	Transcription Factories	unassigned	phasepdb_rev
P24928	Transcription Factories	unassigned	phasepdb_rev
Q13627	Transcription Factories	unassigned	phasepdb_rev
O60885	Transcription Factories	unassigned	phasepdb_rev
Q15648	Transcription Factories	unassigned	phasepdb_rev
Q01844		unassigned	phasepdb_rev
Q92804		unassigned	phasepdb_rev
Q9BZC1		unassigned	phasepdb_rev
P33240		unassigned	phasepdb_rev
Q9H0L4		unassigned	phasepdb_rev
Q9NQZ3		unassigned	phasepdb_rev
Q9NR90		unassigned	phasepdb_rev
Q86SG3		unassigned	phasepdb_rev
Q96EP5		unassigned	phasepdb_rev
P31483		unassigned	phasepdb_rev
Q01085		unassigned	phasepdb_rev
P51991		unassigned	phasepdb_rev
P23246		unassigned	phasepdb_rev
P31943		unassigned	phasepdb_rev
P55795		unassigned	phasepdb_rev
P31942		unassigned	phasepdb_rev
Q8WXF1		unassigned	phasepdb_rev
Q96PK6		unassigned	phasepdb_rev
Q99729		unassigned	phasepdb_rev
Q14103		unassigned	phasepdb_rev
O14979		unassigned	phasepdb_rev
Q13151		unassigned	phasepdb_rev
Q32P51		unassigned	phasepdb_rev
O43781	Nuclear speckle	unassigned	phasepdb_rev
Q8N884		unassigned	phasepdb_rev
Q6VMQ6	PML nuclear body	unassigned	phasepdb_rev
P46100	PML nuclear body	unassigned	phasepdb_rev
Q9H165	Paraspeckle	unassigned	phasepdb_rev
P54132	PML nuclear body	unassigned	phasepdb_rev
Q8N163	Sam68 nuclear body	unassigned	phasepdb_rev
P17676	Nuclear speckle	unassigned	phasepdb_rev
P49711	Histone locus body	unassigned	phasepdb_rev
Q9UER7	PML nuclear body	unassigned	phasepdb_rev
Q9NR30	Nucleolus	unassigned	phasepdb_rev
O60832	Cajal body	unassigned	phasepdb_rev
O60832	Nucleolus	unassigned	phasepdb_rev
Q01844	Nuclear speckle	unassigned	phasepdb_rev
Q8TC56	Nuclear speckle	unassigned	phasepdb_rev
